"","code","year","location","Age","sex","mass","faavg","bci","site","date","time","day","month","mult","count"
"86","00067CF219","2015","St.George","A","F",7.4,38.23333333,NA,"DA",2015-09-21,"21:34:24",264,"Sep","multiple",2
"87","00067CF219","2015","St.George","A","F",7.4,38.23333333,NA,"DA",2015-08-26,"23:38:45",238,"Aug","multiple",1
"88","00067CF32D","2014","Nutimik.Lake-Mitch.Diane's","A","F",7.6,38.43333333,0.197745013,NA,NA,NA,NA,NA,NA,NA
"89","00067CF441","2013","St.George","A","F",12.9,39.23333333,0.328802039,NA,NA,NA,NA,NA,NA,NA
"90","00067CF441","2013","St.George","A","F",12.5,39.4,0.317258883,NA,NA,NA,NA,NA,NA,NA
"91","00067CF5DE","2015","St.George","J","M",6.8,38.37333333,NA,NA,NA,NA,NA,NA,NA,NA
"92","00067CF777","2014","Squeaky","A","F",8.3,38.43333333,0.215958369,"SQ",2014-09-23,"22:01:07",266,"Sep","multiple",2
"93","00067CF777","2014","Squeaky","A","F",8.3,38.43333333,0.215958369,"SQ",2014-08-28,"0:13:33",240,"Aug","multiple",1
"94","00067CFC0E","2013","St.George","A","M",12.2,37.4,0.326203209,NA,NA,NA,NA,NA,NA,NA
"95","00067D011B","2013","Abyss","A","M",11.8,37.03333333,0.318631863,NA,NA,NA,NA,NA,NA,NA
"96","00067D04E5","2013","St.George","A","M",13.8,36.83333333,0.374660633,NA,NA,NA,NA,NA,NA,NA
"97","00067D04E5","2014","St.George","A","M",8,36.69333333,0.218023256,NA,NA,NA,NA,NA,NA,NA
"98","00067D0573","2013","St.George","A","M",10.8,37,0.291891892,NA,NA,NA,NA,NA,NA,NA
"99","00067D05BA","2013","St.George","A","M",9.1,37.03333333,0.245724572,NA,NA,NA,NA,NA,NA,NA
"100","000683D396","2011","Abyss","A","M",9.24,37.53666667,0.246159311,NA,NA,NA,NA,NA,NA,NA
"101","0006949B","2008","St.George",NA,"F",11,38.44,0.28616025,NA,NA,NA,NA,NA,NA,NA
"102","00069669EE","2012","St.George","A","M",8.69,37.96666667,0.228884987,NA,NA,NA,NA,NA,NA,NA
"103","0006966A18","2009","Abyss",NA,"M",6.8,38.35,0.177314211,NA,NA,NA,NA,NA,NA,NA
"104","0006966A18","2013",NA,NA,NA,NA,NA,NA,"AB",2013-09-21,"20:29:36",264,"Sep","multiple",1
