capdate,area,location,code,recap,species,Age,sex,repro,mass,faavg,bci
26/05/2008,Grand.Rapids,Abyss,0006D0CA27,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0CB2A,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0CF21,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0D280,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D0D3C0,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0D4CE,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0D67F,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D0D73C,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0D8F9,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0D907,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0DC89,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0DDA7,N,MYLU,NA,F,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D0DEC7,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0DF4E,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0E19F,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0E463,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D0E4EB,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0E4EE,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D0E4EF,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0E5FA,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0E80C,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0E85D,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0E87F,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0E882,N,MYLU,NA,F,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Firecamp,0006D0E914,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0E9E8,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0EBE1,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0ECE1,YB,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0ED89,N,MYLU,NA,M,NA,NA,NA,NA
26/05/2008,Grand.Rapids,Abyss,0006D0EE46,N,MYLU,NA,M,NA,NA,NA,NA
